the_geom,INITIALS,SCHOOLDIST,BORO,CREAT_DATE,EDIT_DATE,BORO_NUM,Shape_Leng,Shape_Area,REMARKS,DBN,ESID_NO,Label,ZONED_DIST,X_Centroid,Y_Centroid
"MULTIPOLYGON (((-74.00575322449023 40.58177840763727, -74.00547740445575 40.5816101942589, -74.00509228395397 40.581610211973846, -74.00450484898857 40.58167244199437, -74.00393692847823 40.581732602542225, -74.00289388433039 40.58158581934565, -74.00193108059594 40.5814879634258, -74.00109665278485 40.5814635053863, -74.00108774006448 40.58146268959643, -74.00029431984346 40.58139010314004, -73.99970217155315 40.58129925918351, -74.000705677412 40.5810618427369, -74.00020348127875 40.58096154443171, -73.99988568074956 40.580825421297135, -73.99974518862776 40.58073893481865, -73.99844883996118 40.57990926278403, -73.99829903503047 40.579733766767035, -73.9982161635206 40.579536073293205, -73.9979684946348 40.57823673906665, -73.99787742178071 40.57754328898851, -73.99862979699219 40.57743953515129, -73.99898230567527 40.57738938650363, -73.99912527150154 40.57736510934745, -73.9992510072764 40.5773485340947, -73.99940884701591 40.57732772666183, -73.99949581679142 40.57731626148432, -74.00003382502375 40.577245334124434, -73.99986449656993 40.57633092750327, -73.99983381682436 40.57616524837745, -73.99961512311535 40.57498420713264, -74.00067580362015 40.574868560341336, -74.00048497246331 40.57385885414044, -74.00045899218804 40.573721388417546, -74.00030997988716 40.572932920565044, -74.00142189832437 40.573101841714475, -74.00254829136375 40.5733270433225, -74.00236551191975 40.57231748732233, -74.00220561576361 40.571755986382264, -74.0023485310163 40.57134146587676, -74.00279081065963 40.57158502719648, -74.00407400783007 40.572063591591004, -74.00505136881503 40.57242808153403, -74.00664110494223 40.57288257463338, -74.00701710007267 40.57299006500839, -74.00901968870721 40.57331780981723, -74.00938179075625 40.573430365292886, -74.0102851674654 40.57371116426166, -74.01151385054736 40.57437618497004, -74.01196850485343 40.5748164400179, -74.01243552498603 40.57565952077353, -74.01244689678455 40.57568386972037, -74.01269363791462 40.57621221186116, -74.01302553015508 40.57706467311819, -74.01345572361505 40.577926490933436, -74.01275083871975 40.57855834034038, -74.01239936701032 40.57942550875064, -74.01160698226629 40.58010489191683, -74.0105222727445 40.58039823039925, -74.01029875691874 40.58045867400882, -74.00984195555554 40.58058220289688, -74.0072424789107 40.58103507333509, -74.00633769470662 40.581518041742825, -74.00586781495883 40.58176885448832, -74.00579835520199 40.58180593078008, -74.00575322449023 40.58177840763727)))",BG,21,BK,08/06/2001,,3,13911.2830465,10480088.3431,,21K188,117,188,21,,
"MULTIPOLYGON (((-73.99370969822654 40.57800223243918, -73.9932619803865 40.575695154245906, -73.99113480030721 40.57592567897032, -73.99100352718553 40.575824436701865, -73.99095391945652 40.57558236857022, -73.99011283962753 40.57567456789723, -73.99016120505644 40.57591735405002, -73.99007402742761 40.576041498684155, -73.99000435065733 40.57567481485666, -73.98968697908617 40.57400455059561, -73.99071712232185 40.57370945535757, -73.99041255828473 40.571741865333635, -73.98982788648671 40.57102960821032, -73.98956828095602 40.570501237912254, -73.99005113417203 40.57041361494807, -73.99055484710577 40.57023566334453, -73.99281532203226 40.56999225572367, -73.99766789388447 40.570114241906055, -73.99780217361597 40.571548091183864, -73.99792060326695 40.57202884784056, -73.99793723610796 40.572096367587804, -73.99795884150407 40.57218407161534, -73.99808758440105 40.57275272814601, -73.99750151748549 40.57275150808261, -73.99740979367554 40.57275131665954, -73.99714601204404 40.57275076638877, -73.99704433395455 40.57275055384015, -73.99686813055688 40.57275660228854, -73.99678403554734 40.57275948859726, -73.99644946243049 40.57277097178865, -73.99636029772279 40.57277403165085, -73.99596084579471 40.57278773957745, -73.99579140425777 40.57280142238318, -73.99568523468639 40.57280999540922, -73.99490444395774 40.572873040131725, -73.99457419936665 40.572915930175014, -73.99464801935864 40.57334052244321, -73.99443841667626 40.57336741486226, -73.99454531939266 40.57392382143829, -73.99491028011045 40.57512217114987, -73.99440094974219 40.575437053988495, -73.9943155385416 40.575573991619564, -73.9943863661642 40.57594934420974, -73.99491184294415 40.57589215412435, -73.99490137479653 40.575836512099045, -73.9953326451101 40.57579004992522, -73.99541901399034 40.57624914211288, -73.9949853447445 40.57629586196704, -73.99519064255188 40.5773871414387, -73.99566636454995 40.57760967484065, -73.99580937045464 40.57775938486749, -73.99475685515901 40.57787974162006, -73.99370969822654 40.57800223243918)))",BG,21,BK,08/12/2011,,3,11668.3769533,3870862.12615,,21K288,118,288,21,,
"MULTIPOLYGON (((-73.9978873458811 40.58064377761467, -73.99165902172889 40.579261691531364, -73.99085884506967 40.579356401801455, -73.99069770943079 40.57937305106632, -73.99050367240508 40.57835764724074, -73.99007402742761 40.576041498684155, -73.99016120505644 40.57591735405002, -73.99011283962753 40.57567456789723, -73.99095391945652 40.57558236857022, -73.99100352718553 40.575824436701865, -73.99113480030721 40.57592567897032, -73.9932619803865 40.575695154245906, -73.99370969822654 40.57800223243918, -73.99475685515901 40.57787974162006, -73.99580937045464 40.57775938486749, -73.99566636454995 40.57760967484065, -73.99519064255188 40.5773871414387, -73.9949853447445 40.57629586196704, -73.99541901399034 40.57624914211288, -73.9953326451101 40.57579004992522, -73.99490137479653 40.575836512099045, -73.99491184294415 40.57589215412435, -73.9943863661642 40.57594934420974, -73.9943155385416 40.575573991619564, -73.99440094974219 40.575437053988495, -73.99491028011045 40.57512217114987, -73.99454531939266 40.57392382143829, -73.99443841667626 40.57336741486226, -73.99464801935864 40.57334052244321, -73.99457419936665 40.572915930175014, -73.99490444395774 40.572873040131725, -73.99568523468639 40.57280999540922, -73.99579140425777 40.57280142238318, -73.99596084579471 40.57278773957745, -73.99636029772279 40.57277403165085, -73.99644946243049 40.57277097178865, -73.99678403554734 40.57275948859726, -73.99686813055688 40.57275660228854, -73.99704433395455 40.57275055384015, -73.99714601204404 40.57275076638877, -73.99740979367554 40.57275131665954, -73.99750151748549 40.57275150808261, -73.99808758440105 40.57275272814601, -73.99795884150407 40.57218407161534, -73.99793723610796 40.572096367587804, -73.99792060326695 40.57202884784056, -73.99780217361597 40.571548091183864, -73.99766789388447 40.570114241906055, -74.00056716090751 40.57024541840899, -74.00148853775937 40.57017046489054, -74.00205364103206 40.56990814861483, -74.0023485310163 40.57134146587676, -74.00220561576361 40.571755986382264, -74.00236551191975 40.57231748732233, -74.00254829136375 40.5733270433225, -74.00142189832437 40.573101841714475, -74.00030997988716 40.572932920565044, -74.00045899218804 40.573721388417546, -74.00048497246331 40.57385885414044, -74.00067580362015 40.574868560341336, -73.99961512311535 40.57498420713264, -73.99983381682436 40.57616524837745, -73.99986449656993 40.57633092750327, -74.00003382502375 40.577245334124434, -73.99949581679142 40.57731626148432, -73.99940884701591 40.57732772666183, -73.9992510072764 40.5773485340947, -73.99912527150154 40.57736510934745, -73.99898230567527 40.57738938650363, -73.99862979699219 40.57743953515129, -73.99787742178071 40.57754328898851, -73.9979684946348 40.5782367390666, -73.9982161635206 40.579536073293205, -73.99829903503047 40.579733766767035, -73.99844883996118 40.57990926278403, -73.99974518862776 40.58073893481865, -73.99988568074956 40.580825421297135, -74.00020348127875 40.58096154443171, -74.000705677412 40.5810618427369, -73.99970217155315 40.58129925918351, -73.99913295099324 40.5813340696502, -73.99841686150911 40.5813778580923, -73.9980317488365 40.58115763082731, -73.99800562188625 40.58106465848939, -73.9978873458811 40.58064377761467)))",BG,21,BK,08/12/2011,,3,18376.4356828,6543570.56606,,21K329,120,329,21,,
"MULTIPOLYGON (((-73.98534222565361 40.57903048936346, -73.98521063936826 40.57893714233991, -73.9851313796038 40.57851808185675, -73.98460250501644 40.57857172093984, -73.98431819982538 40.57706550358108, -73.98437695390636 40.57705902671366, -73.98435984721434 40.57696839811498, -73.98453087226842 40.57693914849168, -73.98465832762193 40.576748572609276, -73.98477359075333 40.57662632218359, -73.98583251616407 40.57650969590709, -73.98689291469441 40.57639209606248, -73.98795385210401 40.57627577434747, -73.98901555383294 40.57615831753757, -73.99007402742761 40.576041498684155, -73.99050367240508 40.57835764724074, -73.99069770943079 40.57937305106632, -73.9903593700369 40.579414038638596, -73.98957956209232 40.57919294159161, -73.98928137640546 40.579002988971396, -73.98894298028847 40.57880873637105, -73.98851252554277 40.57883431134524, -73.98828491439302 40.57884783404433, -73.9882055338105 40.57885255007187, -73.98806162410833 40.57889764245898, -73.98738754205074 40.579108854094464, -73.98692727309498 40.57945500911495, -73.98670581791615 40.57962155813529, -73.98673741378495 40.57964784628216, -73.98680577317802 40.57970472314545, -73.98672149741341 40.57977297495726, -73.986660335566 40.5798225074988, -73.9869122477621 40.57996537398678, -73.98701474446713 40.58002350273394, -73.98646020053592 40.580764892324794, -73.98601478730916 40.58112517100656, -73.98580572456534 40.58124294650074, -73.98580571040497 40.5812428852634, -73.98565343080817 40.58066120657474, -73.98534222565361 40.57903048936346)))",BG,21,BK,08/12/2011,,3,6782.79094401,1833886.20521,,21K288,121,288,21,,
"MULTIPOLYGON (((-73.98968697908617 40.57400455059561, -73.99000435065733 40.57567481485666, -73.99007402742761 40.576041498684155, -73.98901555383294 40.57615831753757, -73.98866270791697 40.574301545905456, -73.98871454383492 40.574286512228134, -73.98968697908617 40.57400455059561)))",BG,21,BK,08/12/2011,,3,2034.92139974,212939.871258,,21K329,122,329,21,,
"MULTIPOLYGON (((-73.98041512044631 40.592303826431056, -73.9821886990589 40.59212304687264, -73.98225306339648 40.592581866974086, -73.9831988854444 40.59248369276236, -73.98311301555945 40.592041255945155, -73.98380088149031 40.591959424492465, -73.98386525278828 40.59243462961305, -73.9844026549332 40.5923527733353, -73.98463965475426 40.593552175781305, -73.98412888510745 40.5936106669354, -73.98407040372285 40.5936173638387, -73.983667664233 40.59366348141231, -73.98354622423443 40.5936765101183, -73.9834412441933 40.59368777286927, -73.98303296902198 40.59373029338058, -73.98273346391969 40.59376369908552, -73.981790849274 40.59386745575767, -73.98110896858483 40.5939467763256, -73.98071099976345 40.59399739622096, -73.98059603259065 40.5935993757818, -73.98073209809527 40.59330527560346, -73.98053801767843 40.59318051990585, -73.98041512044631 40.592303826431056)))",JG,21,BK,08/06/2001,12/3/15,3,3973.18360325,689362.679579,"Shared zone: PS 95, PS 97, PS 101, PS 212, PS 216 share a zone.","21K095,21K097,21K101,21K212,21K216",128,"95, 97, 101, 212, 216",21,,
"MULTIPOLYGON (((-73.9534192987159 40.582608212872984, -73.95330135974618 40.58200275189859, -73.94968547855288 40.582291957428914, -73.94381875142263 40.5811745905325, -73.9426803321705 40.58098308918768, -73.93833710678999 40.581057183965214, -73.93798833960531 40.58106312701763, -73.93276900174996 40.5811426649601, -73.93271480208047 40.58125603443601, -73.93253900333103 40.581276549746946, -73.93249515544328 40.581126022092874, -73.93198269958518 40.57936674928416, -73.93107036963275 40.576234460688966, -73.93112770163991 40.5761608222582, -73.931378843429 40.575838252448506, -73.93150359329955 40.57567802090926, -73.93160420642116 40.57567445624273, -73.93493787024242 40.575556305847776, -73.93570636007395 40.57569720413125, -73.93646338038181 40.57583599360588, -73.93657353833231 40.57585618930573, -73.9365942226227 40.575782847595114, -73.93665493498894 40.57556757466764, -73.93669565200356 40.57540264982402, -73.9367580046131 40.57544629477102, -73.93685778713215 40.57551614031336, -73.94025142889248 40.57545610020624, -73.94184340976747 40.57538198900416, -73.94244179931724 40.575354126465, -73.94249778945768 40.57537369768772, -73.94252082756242 40.57538175090111, -73.94323925606054 40.575632872676714, -73.94417216489278 40.57562302061672, -73.94455836272695 40.575299508697505, -73.94457805555177 40.575283011584666, -73.9446703039256 40.57527462443964, -73.94491713175502 40.575252182211955, -73.94622880198956 40.57508202096224, -73.94667014407555 40.57502476241715, -73.94699454943147 40.57498267435108, -73.94713362910576 40.574964629789534, -73.95004072489317 40.574615416939594, -73.95194718942916 40.574430663615814, -73.95237986850933 40.57437929775955, -73.95242628565386 40.574559109503674, -73.9528745114387 40.57688215883584, -73.95300123027857 40.57747651265626, -73.95303970882502 40.57767958700445, -73.9530996392305 40.57799415553918, -73.95334153922929 40.57926712693168, -73.95374063251165 40.5813558939573, -73.95383801773295 40.58174555379951, -73.95392000823271 40.58186979785099, -73.95403970618611 40.58251639336517, -73.9534192987159 40.582608212872984)))",BG,22,BK,07/31/2001,4/5/04,3,17340.4171095,13432772.6004,,22K195,1,195,22,,
"MULTIPOLYGON (((-73.95473514788019 40.59502825807329, -73.95469070045796 40.594791169807415, -73.9546216767152 40.594422188568025, -73.95365951350364 40.59453048027025, -73.95269927339858 40.59463749382784, -73.95175465258309 40.59473791457866, -73.95055414747199 40.594870555598405, -73.95015202405753 40.592753189583156, -73.94911583959598 40.592867209762446, -73.9487173318018 40.59074670588315, -73.94778690895299 40.590850567875144, -73.94686188485302 40.59095070480282, -73.94645886587605 40.58882931718442, -73.94734643726757 40.588507051836295, -73.94696109898847 40.58647896844264, -73.94679297199575 40.58559430552463, -73.94674843389734 40.58535117066841, -73.94669113294844 40.58507277426171, -73.94641529496758 40.58356953186315, -73.94705571385379 40.58354343710388, -73.94787786442133 40.5835174213614, -73.94800540721678 40.58350592633, -73.94942711530874 40.583377777898974, -73.95027742142764 40.58330112542327, -73.95038530058602 40.58344942787315, -73.95090326054572 40.5843552967048, -73.95106514588784 40.58463088120334, -73.95153721352244 40.584677294801374, -73.9547417720299 40.585040253933116, -73.95485543096397 40.58562477741643, -73.95522691064438 40.58768491242727, -73.95526485038181 40.58786124943329, -73.95567342198058 40.589984137880094, -73.95607720420888 40.592101431905654, -73.95655540402991 40.594647428977154, -73.95565081073656 40.59485484828198, -73.95511439349623 40.594947901150924, -73.95473514788019 40.59502825807329)))",BG,22,BK,07/31/2001,,3,13293.7624098,8291388.45648,,22K254,2,254,22,,
"MULTIPOLYGON (((-73.92187302606405 40.67253670965527, -73.92010441906167 40.67240721228298, -73.92005133817227 40.67216045358825, -73.91970909535186 40.6717578509515, -73.9200243456553 40.67164014395037, -73.92004967114872 40.671242403813565, -73.91979413730068 40.67086878324198, -73.92025197989649 40.67043557418829, -73.91987744167696 40.669977237292876, -73.92038850516575 40.669785613455694, -73.91996590330461 40.66947638121137, -73.92070761265184 40.66917415159331, -73.92180873270215 40.668715887155265, -73.92207694710102 40.668604259061006, -73.9225217419218 40.66838359084483, -73.9226321077906 40.668373210260825, -73.92531218941154 40.66848456533382, -73.92560682539337 40.66850525177177, -73.92557349301693 40.66871133147219, -73.92549121164811 40.66943431115048, -73.92516155434733 40.67295360054412, -73.92221444364071 40.67279164094064, -73.92204767403248 40.67276630288408, -73.9218817333237 40.672730587550475, -73.92188134948236 40.672722042298275, -73.92187302606405 40.67253670965527)))",BG,17,BK,08/06/2001,,3,6640.11082891,2163265.97954,,17K191,160,191,17,,
"MULTIPOLYGON (((-73.96666476292799 40.578624035932165, -73.96681226160803 40.5779921988615, -73.96696117969577 40.57734963692913, -73.96703638656625 40.577018589668576, -73.96717160752164 40.57638622618652, -73.96735538232373 40.57634786228182, -73.9676574352932 40.57504368225212, -73.96756707287466 40.574881526417585, -73.96701810785555 40.57281503368392, -73.96889077826458 40.57262252436555, -73.96903596656398 40.572607597772745, -73.96955868524017 40.572553856387565, -73.97074177981125 40.5723891462672, -73.97088577311243 40.57236909844981, -73.97318224920087 40.57204934269615, -73.97341676587106 40.57201668654671, -73.97450890012928 40.5718646004307, -73.97530435058927 40.57175298125409, -73.97553110488674 40.571721162009986, -73.97691799901177 40.571526533184624, -73.97689594957588 40.571772605229405, -73.97660923075038 40.57530428604305, -73.97655869694239 40.575938821401735, -73.97466665967708 40.57654680977382, -73.97452495119944 40.57699644893577, -73.97445281782268 40.578821418605784, -73.97495784094801 40.57892171318425, -73.97486698483318 40.57988517294197, -73.97465241978087 40.579972622071814, -73.9746490375659 40.580031535773514, -73.97458006303756 40.580524597449994, -73.97453264229664 40.58101954183655, -73.97450690033021 40.581515557623625, -73.97450516079013 40.58172962108473, -73.97450287033415 40.582011823588076, -73.97453763413007 40.58221912313435, -73.9745542275608 40.58250194545518, -73.97460468641884 40.58284153501663, -73.97224755519875 40.583293250850765, -73.97167927224748 40.58339684373114, -73.970750633796 40.583517542379724, -73.96829016398924 40.58386992360184, -73.96705716122588 40.58396876504495, -73.96694103408916 40.58397507657413, -73.96676128940973 40.583984392175104, -73.9667767838595 40.583914989402885, -73.9668137545322 40.5837577141604, -73.96683458353404 40.58367686215531, -73.96685766077005 40.583586618082414, -73.96691975180197 40.58335247280891, -73.96701115985981 40.5829476235062, -73.96707277555198 40.58266981176689, -73.96708956048762 40.58259579365475, -73.96733404014066 40.58151752229461, -73.96759867868452 40.58037847014525, -73.96730118722067 40.580419512886486, -73.96621053767888 40.58062956858186, -73.96657246834957 40.57903695348461, -73.96666476292799 40.578624035932165)))",BG,21,BK,08/06/2001,,3,14150.4441811,9579792.80902,,21K100,124,100,21,,
